ServerName,Date,Mode,Model,ImageName,SessionID,ClientCount,StartTime,FinishTime,TotalTime,Result
HAU-LAB2,2026-06-11,APPLY,OptiPlex 7050,Dell Precision 3431 W11PRO (25H2) [03-01-26].wim,1,1,11:50 AM,11:59 AM,00:09:43,SUCCESS
ENG-QCBENCH,2026-06-11,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,1,5,12:00 PM,12:05 PM,00:04:42,SUCCESS
DAL-LAB3,2026-06-11,APPLY,HP ProBook 440 G6,HP_ProBook-440-G6_Win11Pro-25H2_03-07-26.wim,31,1,11:06 AM,11:12 AM,00:06:11,SUCCESS
DAL-LAB3,2026-06-11,APPLY,HP ProBook 440 G7,HP_ProBook-440-G7_Win11Pro-25H2_03-09-26.wim,32,2,11:07 AM,11:13 AM,00:05:37,SUCCESS
DAL-LAB3,2026-06-11,APPLY,HP ZBook Power G7 Mobile Workstation,HP_ZBook-Power-G7-MW_Win11Pro-25H2_03-09-26.wim,31,1,11:15 AM,11:20 AM,00:04:29,SUCCESS
ENG-QCBENCH,2026-06-11,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,1,5,12:15 PM,12:20 PM,00:04:35,SUCCESS
DC-SC1,2026-06-11,APPLY,HP EliteDesk 800 G4 SFF,HP_EliteDesk800-G4_W11PRO-25H2_05-14-26.wim,1,1,12:20 PM,12:24 PM,00:03:51,SUCCESS
LV-LAB3A,2026-06-11,APPLY,ThinkPad P51,P51 LAB WH PBI CP V5 [01-03-26].wim,1,1,9:41 AM,9:47 AM,00:06:42,SUCCESS
LA-LAB3,2026-06-11,APPLY,Latitude 5511,FS-Basic_Dell-Latitude-5511_W11PRO-25H2_Office-2024Pro_6-9.wim,1,10,9:36 AM,9:49 AM,00:12:10,SUCCESS
LV-LAB3B,2026-06-11,APPLY,Microsoft Surface Pro 11th Edition,Microsoft_Surface-Pro-11_Win11Pro-25H2-ARM64_03-10-26.wim,3,1,9:55 AM,10:07 AM,00:12:20,SUCCESS
LV-LAB3A,2026-06-11,APPLY,ThinkPad P51,P51 LAB WH PBI CP V5 [01-03-26].wim,1,1,10:07 AM,10:13 AM,00:06:40,SUCCESS
CH-LAB1,2026-06-11,APPLY,NUC12WSH-B,Intel-NUC-NUC12WShi7_Win11Pro-25H2_03-23-26.wim,1,1,12:16 PM,12:20 PM,00:03:34,SUCCESS
CH-LAB1,2026-06-11,APPLY,ThinkPad E14,Lenovo_ThinkPad-E14_Win11Pro-24H2_03-06-26.wim,2,3,12:23 PM,12:28 PM,00:04:50,SUCCESS
ATL-LAB2,2026-06-11,APPLY,Latitude 5430,Dell_Latitude-5430_Win11Pro-25H2_03-03-26.wim,2,1,1:29 PM,1:35 PM,00:05:18,SUCCESS
ATL-LAB2,2026-06-11,APPLY,ThinkPad L15 Gen 1,Lenovo_ThinkPad-L15_Win11Pro-25H2_03-07-26.wim,3,1,1:30 PM,1:35 PM,00:05:11,SUCCESS
